source_model_name,evaluation_window_index,training_window_indices,architecture,objective_kind,seed,tenant_id,anchor_timestamp,regret_uah,raw_regret_uah,realized_value_uah,forecast_mae_uah_mwh,safety_violation_count,v2_plus_regret_uah,dfl_minus_v2_plus_regret_uah
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-04T23:00:00.000000,1185.723594440712,745.4605216879331,2797.9795437155885,2043.9981960036544,0,135.74998606133613,1049.973608379376
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-04T23:00:00.000000,276.25761768775965,88.67205411282384,1646.4284891966797,2138.168768024104,0,58.23817980507647,218.01943788268318
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-04T23:00:00.000000,1304.6491853535326,797.7157398071558,5761.552536982129,1647.4535862947246,0,240.49234916884234,1064.1568361846903
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-04T23:00:00.000000,701.7439603452076,422.1872587187954,5012.712287990509,2098.0611919884045,0,188.69806041828815,513.0458999269194
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-04T23:00:00.000000,367.2897345709566,588.6491660597621,2130.4439312934464,2118.171901159903,0,113.50875171939606,253.78098285156057
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-05T23:00:00.000000,1456.1774096096128,535.3583373784377,2542.312672549749,1887.7434927624115,0,337.80242519717103,1118.3749844124418
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-05T23:00:00.000000,695.8091492180586,232.75837264464826,1218.3300342129985,1828.860519890971,0,167.4903972806967,528.3187519373619
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-05T23:00:00.000000,1004.1977785037025,1004.1977762492952,6098.001306097858,1629.3379584619531,0,602.9944663553506,401.20331214835187
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-05T23:00:00.000000,1778.4647418413565,548.4653218756775,3880.5958567162484,1670.3016177559061,0,196.89191626324555,1581.572825578111
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-05T23:00:00.000000,1053.1087581347344,380.2333663167342,1445.3430675638995,1899.464432699186,0,171.94056994800349,881.168188186731
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-06T23:00:00.000000,1778.9861333770805,174.30001857895377,2392.6108122396745,2210.980238093876,0,174.29999870764777,1604.6861346694327
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-06T23:00:00.000000,837.4459690474846,276.30339681342593,1168.0398590173058,2164.5582861352923,0,83.61880805919554,753.827160988289
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-06T23:00:00.000000,3119.6930656883114,1196.08091372333,4241.748330874535,2063.970708200586,0,311.24999970183944,2808.443065986472
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-06T23:00:00.000000,1226.8119537248176,1169.432118051227,4866.285098679894,2297.443055980179,0,152.86671256651698,1073.9452411583006
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-06T23:00:00.000000,1122.3261318498485,124.50001412458596,1430.0245839278878,2175.2219701467566,0,124.50001000804605,997.8261218418024
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-07T23:00:00.000000,1740.197830760911,465.9060892045036,3282.716897428358,2323.164957642376,0,851.1200652346843,889.0777655262268
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-07T23:00:00.000000,729.2994070449804,209.24510131144098,1686.6043047182443,2177.9314258523627,0,193.79776837397867,535.5016386710017
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-07T23:00:00.000000,766.2279183777437,766.2279147559002,8067.465486316826,2160.188858796613,0,1508.9318452727148,-742.7039268949711
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-07T23:00:00.000000,1255.3903464004206,656.4394914318982,6172.228550766703,2300.786937936862,0,1200.6454590692374,54.744887331183236
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-07T23:00:00.000000,972.3992272337246,697.1730697463863,2060.7675036711707,2278.983237888896,0,526.6217150825687,445.77751215115586
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-08T23:00:00.000000,1305.2173602097146,18.580686578852692,3639.052008994103,2802.6030735669083,0,12.552625001542765,1292.6647352081718
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-08T23:00:00.000000,550.3236042379053,19.85992278319145,1800.664314475198,2702.1301929400206,0,5.533986061793712,544.7896181761116
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-08T23:00:00.000000,510.7047020719365,280.3942089859502,8249.098386193946,2657.653084176316,0,0.0,510.7047020719365
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-08T23:00:00.000000,456.39412486718265,190.42844154201612,6650.480389597448,2714.532323856578,0,1.0853354979190044e-6,456.39412378184716
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-08T23:00:00.000000,794.312361900807,0.000030134196549624903,2242.317800453166,2753.727562849019,0,3.1000499802757986e-6,794.312358800757
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-09T23:00:00.000000,1131.7498428733193,1479.3567926728588,3529.8081952258076,3248.458760161018,0,197.0476391766706,934.7022036966487
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-09T23:00:00.000000,578.8479344043949,739.7920004888849,1667.9289263874557,3283.7978605547387,0,91.05519404701545,487.79274035737944
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-09T23:00:00.000000,2009.1908253800166,2607.0404746277336,6255.6750317404885,3232.3221342398424,0,146.75000568205087,1862.4408196979657
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-09T23:00:00.000000,2119.9866134952154,1987.6676907418887,4583.32650966641,3201.2095194266367,0,117.40005546578686,2002.5865580294285
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-09T23:00:00.000000,785.8165871801089,1000.2449115723273,2125.8849284902303,3255.9270821841433,0,58.700017056414254,727.1165701236946
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-10T23:00:00.000000,762.836551405384,592.8632818102137,3552.6518417829684,1730.0188363043317,0,304.60971555642254,458.2268358489614
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-10T23:00:00.000000,365.790374835115,352.81513450805164,1708.1240350312082,1688.1036409141748,0,141.29080619229399,224.49956864282103
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-10T23:00:00.000000,1025.6970969524436,625.7023840559586,6621.187257805944,1701.769180920605,0,554.4302604516688,471.26683650077484
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-10T23:00:00.000000,530.6453031734227,422.3642967733813,5693.64845734246,1595.505891244686,0,422.36429611684434,108.28100705657835
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-10T23:00:00.000000,469.5673603254877,469.5673531874145,2211.6509037315614,1718.087160060079,0,173.44245733356865,296.12490299191904
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-11T23:00:00.000000,2585.986388060964,993.9953969906092,3156.3423757187616,2745.019326362943,0,54.7096067622233,2531.276781298741
